id_vivienda,superficie,num_hab,distancia,fecha_const,parking,premiada,tam_buzon,precio,impuestos,vendida
viv_30,119.0,3,4,1976-01-01,,0,1.4,281000,28100.0,1
viv_31,75.0,2,2,1986-01-01,ext,0,1.6,136000,13600.0,0
viv_32,93.0,1,3,1993-01-01,ext,0,1.7,205000,20500.0,1
viv_33,95.0,2,9,1987-01-01,int,0,0.7,146000,14600.0,0
viv_34,127.0,3,5,2003-01-01,ext,0,1.4,334000,33400.0,1
viv_35,81.0,3,2,2021-01-01,int,0,1.2,208000,20800.0,0
viv_36,108.0,4+,5,1996-01-01,,0,1.6,284000,28400.0,1
viv_37,93.0,2,1,1992-01-01,int,0,1.0,187000,18700.0,0
viv_38,122.0,3,10,1991-01-01,,0,1.8,209000,20900.0,1
viv_39,118.0,3,9,2015-01-01,ext,0,0.8,273000,27300.0,1
viv_40,108.0,2,9,2023-01-01,ext,0,2.0,244000,24400.0,1
viv_41,95.0,3,3,1989-01-01,ext,0,1.8,287000,28700.0,1
viv_42,110.0,3,5,1986-01-01,,0,1.9,272000,27200.0,1
viv_43,104.0,1,8,1973-01-01,,0,1.3,183000,18300.0,1
viv_44,93.0,4+,7,1968-01-01,int,0,0.8,283000,28300.0,0
viv_45,123.0,1,2,1992-01-01,ext,0,1.3,231000,23100.0,1
viv_46,129.0,1,4,1996-01-01,int,0,1.8,243000,24300.0,1
viv_47,72.0,2,10,1972-01-01,,0,1.1,156000,15600.0,1
viv_48,129.0,3,7,1970-01-01,int,0,0.6,319000,31900.0,1
viv_49,80.0,3,7,1978-01-01,ext,0,1.8,239000,23900.0,1
viv_50,98.0,3,5,2020-01-01,,0,1.6,259000,25900.0,1
viv_51,115.0,3,3,1984-01-01,int,0,1.3,333000,33300.0,1
viv_52,68.0,1,3,2016-01-01,,0,1.2,163000,16300.0,1
viv_53,115.0,4+,4,2009-01-01,ext,0,1.5,290000,29000.0,0
viv_54,90.0,1,8,1977-01-01,ext,0,1.3,189000,18900.0,1
viv_55,91.0,3,4,1971-01-01,ext,0,0.9,265000,26500.0,1
viv_56,85.0,4+,2,1978-01-01,ext,0,0.9,166000,16600.0,0
viv_57,70.0,4+,7,2007-01-01,ext,0,1.7,227000,22700.0,0
viv_58,69.0,2,9,1985-01-01,,0,0.8,175000,17500.0,1
viv_59,129.0,4+,5,1968-01-01,ext,0,1.5,333000,33300.0,1
viv_60,85.0,2,2,2002-01-01,ext,0,0.6,244000,24400.0,1
viv_61,124.0,3,5,1966-01-01,,0,1.5,262000,26200.0,1
viv_62,93.0,4+,6,1979-01-01,,0,1.4,288000,28800.0,0
viv_63,83.0,3,4,1989-01-01,ext,0,1.3,261000,26100.0,1
viv_64,68.0,4+,6,1967-01-01,int,0,1.7,188000,18800.0,0
viv_65,93.0,4+,5,1972-01-01,,0,1.1,252000,25200.0,1
viv_66,61.0,3,1,1968-01-01,int,0,1.1,211000,21100.0,1
viv_67,100.0,4+,5,1978-01-01,ext,0,0.9,300000,30000.0,1
viv_68,99.0,4+,6,1984-01-01,ext,0,0.7,309000,30900.0,0
viv_69,106.0,4+,9,1968-01-01,int,0,0.8,267000,26700.0,1
viv_70,91.0,2,10,1997-01-01,int,0,1.3,195000,19500.0,1
viv_71,125.0,2,8,2022-01-01,int,0,1.2,290000,29000.0,1
viv_72,120.0,2,7,2018-01-01,int,0,1.3,295000,29500.0,1
viv_73,129.0,3,9,1980-01-01,ext,0,1.3,280000,28000.0,1
viv_74,88.0,3,9,1971-01-01,ext,0,1.8,230000,23000.0,1
viv_75,81.0,4+,3,1980-01-01,,0,1.6,240000,24000.0,1
viv_76,91.0,1,7,1995-01-01,,0,0.8,183000,18300.0,1
viv_77,108.0,1,1,1968-01-01,int,0,0.6,217000,21700.0,1
viv_78,71.0,4+,1,1997-01-01,int,0,1.0,257000,25700.0,1
viv_79,120.0,2,1,1988-01-01,int,0,0.9,194000,19400.0,0
viv_80,84.0,2,2,1988-01-01,ext,0,0.8,306000,30600.0,0
viv_81,111.0,3,6,2023-01-01,int,0,0.6,316000,31600.0,1
viv_82,70.0,1,7,1990-01-01,,0,1.7,337000,33700.0,0
viv_83,129.0,4+,3,1971-01-01,int,0,1.5,169000,16900.0,0
viv_84,127.0,4+,2,1972-01-01,ext,0,1.6,348000,34800.0,1
viv_85,124.0,3,7,1968-01-01,,0,0.8,265000,26500.0,1
viv_86,64.0,1,5,1973-01-01,int,0,1.1,168000,16800.0,1
viv_87,76.0,3,4,2016-01-01,int,0,1.3,255000,25500.0,1
viv_88,78.0,1,3,1992-01-01,ext,0,0.8,188000,18800.0,1
viv_89,129.0,3,10,1995-01-01,ext,0,0.7,233000,23300.0,1
viv_90,63.0,1,7,1967-01-01,ext,0,0.6,256000,25600.0,0
viv_91,107.0,3,4,1998-01-01,int,0,1.0,317000,31700.0,1
viv_92,118.0,3,6,1991-01-01,int,0,1.8,328000,32800.0,1
viv_93,119.0,4+,6,2019-01-01,int,0,1.9,349000,34900.0,1
viv_94,60.0,3,10,2006-01-01,,0,1.9,152000,15200.0,1
viv_95,83.0,1,5,1980-01-01,int,0,1.0,302000,30200.0,0
viv_96,88.0,4+,9,1995-01-01,ext,0,1.3,322000,32200.0,0
viv_97,115.0,4+,5,1993-01-01,int,0,1.8,348000,34800.0,1
viv_98,123.0,4+,10,2023-01-01,int,0,1.3,135000,13500.0,0
viv_99,68.0,2,3,1990-01-01,,0,1.9,171000,17100.0,0
viv_100,114.0,3,10,1999-01-01,ext,0,0.8,223000,22300.0,1
viv_101,105.0,3,5,2015-01-01,int,0,1.1,314000,31400.0,1
viv_102,72.0,2,6,2011-01-01,,0,1.7,199000,19900.0,1
viv_103,126.0,1,4,2003-01-01,int,0,1.9,239000,23900.0,1
viv_104,111.0,3,6,1975-01-01,int,0,1.0,309000,30900.0,1
viv_105,60.0,3,7,2017-01-01,ext,0,1.0,200000,20000.0,1
viv_106,130.0,4+,6,2019-01-01,ext,0,0.8,316000,31600.0,0
viv_107,122.0,4+,6,2013-01-01,,0,1.6,301000,30100.0,1
viv_108,88.0,4+,5,1984-01-01,ext,0,1.5,280000,28000.0,1
viv_109,67.0,2,5,1979-01-01,,0,0.9,338000,33800.0,0
viv_110,81.0,2,9,2004-01-01,ext,0,1.8,176000,17600.0,0
viv_111,83.0,4+,5,1990-01-01,ext,0,2.0,269000,26900.0,1
viv_112,116.0,4+,7,1966-01-01,int,0,0.5,296000,29600.0,1
viv_113,83.0,1,8,1999-01-01,ext,0,1.9,183000,18300.0,1
viv_114,86.0,3,1,1986-01-01,ext,0,0.6,269000,26900.0,1
viv_115,99.0,1,3,1985-01-01,ext,0,1.1,299000,29900.0,0
viv_116,107.0,4+,1,1982-01-01,ext,0,1.1,324000,32400.0,1
viv_117,86.0,2,6,1977-01-01,ext,0,1.9,236000,23600.0,1
viv_118,124.0,1,5,1990-01-01,ext,0,0.8,228000,22800.0,1
viv_119,79.0,1,7,1988-01-01,ext,0,1.9,230000,23000.0,0
viv_120,73.0,1,9,2014-01-01,int,0,0.5,168000,16800.0,1
viv_121,92.0,2,10,1997-01-01,,0,1.4,231000,23100.0,0
viv_122,83.0,2,8,1975-01-01,int,0,1.3,225000,22500.0,1
viv_123,110.0,1,8,2019-01-01,ext,0,0.8,335000,33500.0,0
viv_124,104.0,2,8,2018-01-01,ext,0,1.6,255000,25500.0,1
viv_125,65.0,4+,8,1973-01-01,int,0,0.9,194000,19400.0,0
viv_126,118.0,3,8,1973-01-01,int,0,1.1,297000,29700.0,1
viv_127,80.0,1,8,1987-01-01,ext,0,1.5,180000,18000.0,1
viv_128,117.0,4+,5,1990-01-01,,0,1.0,295000,29500.0,1
viv_129,82.0,2,4,1979-01-01,,0,1.0,216000,21600.0,1
viv_130,104.0,3,1,1976-01-01,ext,0,1.0,304000,30400.0,0
viv_131,110.0,2,5,1979-01-01,,0,0.8,125000,12500.0,0
viv_132,78.0,3,8,1988-01-01,ext,0,0.6,230000,23000.0,1
viv_133,104.0,4+,7,1964-01-01,,0,1.4,326000,32600.0,0
viv_134,93.0,4+,1,1991-01-01,,0,0.8,269000,26900.0,1
viv_135,68.0,3,9,2012-01-01,int,0,1.4,206000,20600.0,1
viv_136,102.0,2,7,1972-01-01,int,0,1.1,262000,26200.0,1
viv_137,81.0,1,5,2010-01-01,,0,0.7,177000,17700.0,1
viv_138,96.0,2,1,1989-01-01,,0,0.9,240000,24000.0,1
viv_139,125.0,3,7,1972-01-01,,0,2.0,274000,27400.0,1
viv_140,109.0,1,1,1978-01-01,,0,1.6,201000,20100.0,1
viv_141,79.0,3,3,1980-01-01,int,0,2.0,341000,34100.0,0
viv_142,125.0,2,3,2007-01-01,ext,0,0.5,247000,24700.0,0
viv_143,94.0,1,5,2001-01-01,ext,0,0.9,203000,20300.0,1
viv_144,96.0,4+,8,1966-01-01,,0,1.1,230000,23000.0,1
viv_145,96.0,4+,10,1966-01-01,ext,0,0.5,197000,19700.0,1
viv_146,94.0,3,2,1973-01-01,int,0,0.7,287000,28700.0,1
viv_147,63.0,2,8,1992-01-01,int,0,1.3,193000,19300.0,1
viv_148,129.0,2,7,1986-01-01,int,0,1.3,298000,29800.0,1
viv_149,98.0,2,4,1982-01-01,,0,1.9,237000,23700.0,1
viv_150,103.0,4+,6,2002-01-01,ext,0,1.4,302000,30200.0,1
viv_151,61.0,4+,6,2002-01-01,ext,0,1.8,287000,28700.0,0
viv_152,123.0,2,3,2003-01-01,int,0,1.6,314000,31400.0,1
viv_153,64.0,4+,8,1981-01-01,int,0,1.7,216000,21600.0,1
viv_154,96.0,4+,4,2015-01-01,int,0,1.3,313000,31300.0,1
viv_155,126.0,3,8,1995-01-01,,0,0.9,270000,27000.0,1
viv_156,76.0,4+,8,2009-01-01,ext,0,1.2,203000,20300.0,0
viv_157,94.0,4+,1,1986-01-01,ext,0,0.5,298000,29800.0,1
viv_158,114.0,2,8,1983-01-01,int,0,2.0,274000,27400.0,1
viv_159,66.0,3,1,1973-01-01,int,0,0.6,168000,16800.0,0
viv_160,90.0,2,4,1985-01-01,,0,2.0,273000,27300.0,0
viv_161,98.0,2,7,2008-01-01,,0,1.8,232000,23200.0,1
viv_162,81.0,2,4,2021-01-01,int,0,1.0,243000,24300.0,1
viv_163,78.0,4+,1,1964-01-01,ext,0,1.5,204000,20400.0,1
viv_164,115.0,2,5,1964-01-01,ext,0,1.2,288000,28800.0,0
viv_165,101.0,3,6,1969-01-01,ext,0,1.7,275000,27500.0,1
viv_166,100.0,1,1,1987-01-01,,0,0.7,340000,34000.0,0
viv_167,61.0,4+,5,1974-01-01,ext,0,1.1,214000,21400.0,1
viv_168,65.0,1,4,2007-01-01,ext,0,1.8,172000,17200.0,1
viv_169,95.0,4+,10,2011-01-01,ext,0,0.7,176000,17600.0,0
viv_170,119.0,4+,8,1991-01-01,,0,1.0,277000,27700.0,1
viv_171,66.0,1,3,2001-01-01,ext,0,1.5,173000,17300.0,1
viv_172,102.0,1,4,1977-01-01,ext,0,0.8,211000,21100.0,1
viv_173,74.0,4+,5,1997-01-01,int,0,0.7,256000,25600.0,1
viv_174,61.0,4+,1,1972-01-01,int,0,0.9,222000,22200.0,1
viv_175,97.0,4+,3,1977-01-01,,0,1.7,269000,26900.0,1
viv_176,88.0,1,10,1999-01-01,,0,1.3,176000,17600.0,0
viv_177,125.0,4+,7,2017-01-01,,0,0.7,295000,29500.0,1
viv_178,87.0,2,2,1969-01-01,,0,1.0,221000,22100.0,1
viv_179,92.0,3,7,1995-01-01,ext,0,1.9,267000,26700.0,1
viv_180,85.0,1,8,2009-01-01,int,0,0.8,188000,18800.0,1
viv_181,111.0,1,5,1971-01-01,,0,1.3,196000,19600.0,1
viv_182,70.0,1,10,2010-01-01,int,0,1.1,145000,14500.0,1
viv_183,108.0,3,9,2016-01-01,int,0,2.0,214000,21400.0,0
viv_184,73.0,4+,4,1997-01-01,int,0,0.9,257000,25700.0,1
viv_185,77.0,1,5,1991-01-01,,0,1.9,261000,26100.0,0
viv_186,114.0,2,5,2014-01-01,int,0,1.7,186000,18600.0,0
viv_187,75.0,3,8,1990-01-01,int,0,1.5,232000,23200.0,1
viv_188,73.0,2,1,1998-01-01,int,0,1.9,202000,20200.0,0
viv_189,87.0,2,2,1975-01-01,,0,0.8,200000,20000.0,0
viv_190,77.0,2,1,1974-01-01,ext,0,1.8,229000,22900.0,1
viv_191,101.0,4+,6,1978-01-01,,0,1.0,236000,23600.0,0
viv_192,110.0,2,5,1965-01-01,int,0,0.9,247000,24700.0,1
viv_193,73.0,2,3,1981-01-01,,0,1.5,203000,20300.0,1
viv_194,111.0,3,7,1973-01-01,,0,1.1,261000,26100.0,1
viv_195,85.0,4+,8,2015-01-01,int,0,0.8,264000,26400.0,1
viv_196,84.0,2,10,2021-01-01,,0,1.4,169000,16900.0,1
viv_197,80.0,4+,9,1995-01-01,int,0,0.6,237000,23700.0,1
viv_198,99.0,1,3,2003-01-01,int,0,0.7,344000,34400.0,0
viv_199,130.0,1,4,1969-01-01,int,0,0.9,232000,23200.0,1
viv_200,73.0,1,1,2015-01-01,int,0,0.9,189000,18900.0,1
viv_201,97.0,1,7,1981-01-01,ext,0,0.6,201000,20100.0,1
viv_202,72.0,2,1,2000-01-01,,0,1.4,281000,28100.0,0
viv_203,108.0,4+,9,1968-01-01,int,0,1.9,267000,26700.0,1
viv_204,97.0,4+,5,1969-01-01,,0,1.5,203000,20300.0,0
viv_205,77.0,2,4,2020-01-01,,0,1.3,211000,21100.0,1
viv_206,129.0,1,7,1969-01-01,ext,0,1.3,216000,21600.0,1
viv_207,96.0,2,10,1974-01-01,int,0,2.0,195000,19500.0,1
viv_208,129.0,2,5,1971-01-01,,0,1.0,264000,26400.0,1
viv_209,104.0,1,2,2021-01-01,ext,0,1.1,219000,21900.0,1
viv_210,75.0,1,10,2006-01-01,int,0,0.8,118000,11800.0,0
viv_211,97.0,4+,8,1967-01-01,int,0,1.9,268000,26800.0,1
viv_212,82.0,4+,3,2008-01-01,int,0,1.0,122000,12200.0,0
viv_213,112.0,2,5,1984-01-01,ext,0,1.0,278000,27800.0,1
viv_214,87.0,4+,4,1991-01-01,int,0,1.1,295000,29500.0,0
viv_215,109.0,3,8,1966-01-01,ext,0,1.4,257000,25700.0,1
viv_216,89.0,2,3,2023-01-01,int,0,1.4,259000,25900.0,1
viv_217,108.0,2,1,1972-01-01,ext,0,1.7,274000,27400.0,1
viv_218,67.0,3,3,2010-01-01,,0,0.8,208000,20800.0,1
viv_219,129.0,2,3,2020-01-01,int,0,0.9,325000,32500.0,1
viv_220,116.0,1,4,2007-01-01,int,0,1.1,232000,23200.0,1
viv_221,103.0,4+,1,1993-01-01,int,0,1.9,333000,33300.0,1
viv_222,102.0,3,6,2011-01-01,,0,0.8,262000,26200.0,1
viv_223,109.0,4+,6,1981-01-01,int,0,1.5,315000,31500.0,0
viv_224,96.0,4+,1,1967-01-01,,0,0.8,257000,25700.0,1
viv_225,97.0,2,4,1989-01-01,int,0,1.6,268000,26800.0,1
viv_226,107.0,1,5,1987-01-01,,0,0.9,200000,20000.0,1
viv_227,83.0,4+,8,2019-01-01,ext,0,1.9,254000,25400.0,1
viv_228,109.0,4+,5,2016-01-01,int,0,1.9,333000,33300.0,1
viv_229,94.0,4+,4,1987-01-01,ext,0,1.0,198000,19800.0,0
viv_230,80.0,3,3,1966-01-01,int,0,0.6,239000,23900.0,1
viv_231,90.0,4+,10,2009-01-01,int,0,0.7,214000,21400.0,1
viv_232,75.0,4+,4,2000-01-01,ext,0,1.2,252000,25200.0,1
viv_233,120.0,4+,6,2005-01-01,ext,0,1.0,337000,33700.0,1
viv_234,110.0,3,2,2012-01-01,ext,0,0.6,314000,31400.0,1
viv_235,95.0,4+,4,1968-01-01,ext,0,1.8,283000,28300.0,1
viv_236,117.0,2,3,2009-01-01,,0,1.4,230000,23000.0,0
viv_237,112.0,3,4,2018-01-01,int,0,1.4,325000,32500.0,1
viv_238,127.0,2,8,1998-01-01,int,0,0.6,291000,29100.0,1
viv_239,68.0,1,9,2021-01-01,ext,0,1.5,183000,18300.0,0
viv_240,122.0,4+,6,1967-01-01,int,0,1.2,324000,32400.0,1
viv_241,88.0,1,1,1990-01-01,,0,1.2,188000,18800.0,1
viv_242,102.0,3,5,1979-01-01,,0,1.6,262000,26200.0,1
viv_243,129.0,4+,10,1977-01-01,int,0,0.8,248000,24800.0,1
viv_244,94.0,1,1,2018-01-01,int,0,0.8,328000,32800.0,0
viv_245,104.0,4+,4,1977-01-01,ext,0,1.3,163000,16300.0,0
viv_246,84.0,2,4,1988-01-01,ext,0,0.6,241000,24100.0,1
viv_247,97.0,3,3,1965-01-01,int,0,0.7,255000,25500.0,1
viv_248,97.0,1,5,1983-01-01,int,0,1.6,213000,21300.0,1
viv_249,61.0,1,4,2007-01-01,,0,2.0,156000,15600.0,1
viv_250,100.0,4+,4,1984-01-01,ext,0,1.4,303000,30300.0,1
viv_251,102.0,3,4,1983-01-01,,0,1.3,263000,26300.0,1
viv_252,129.0,2,1,1996-01-01,int,0,1.7,221000,22100.0,0
viv_253,81.0,1,8,2013-01-01,,0,1.0,253000,25300.0,0
viv_254,68.0,1,2,2022-01-01,int,0,1.0,181000,18100.0,1
viv_255,81.0,3,5,1981-01-01,int,0,1.9,261000,26100.0,1
viv_256,113.0,3,2,1997-01-01,ext,0,0.8,322000,32200.0,1
viv_257,79.0,4+,9,1983-01-01,ext,0,0.9,227000,22700.0,1
viv_258,127.0,2,10,2019-01-01,,0,1.2,309000,30900.0,0
viv_259,81.0,1,8,1975-01-01,ext,0,1.7,177000,17700.0,1
viv_260,101.0,4+,1,1965-01-01,,0,1.9,244000,24400.0,1
viv_261,80.0,2,10,1967-01-01,ext,0,1.9,171000,17100.0,1
viv_262,127.0,3,4,2002-01-01,int,0,0.8,350000,35000.0,1
viv_263,84.0,2,6,1972-01-01,ext,0,1.1,232000,23200.0,1
viv_264,113.0,4+,1,1985-01-01,ext,0,1.2,338000,33800.0,1
viv_265,69.0,1,10,2006-01-01,ext,0,1.6,143000,14300.0,1
viv_266,122.0,4+,3,1988-01-01,,0,1.4,309000,30900.0,1
viv_267,81.0,2,5,2001-01-01,,0,1.6,214000,21400.0,1
viv_268,88.0,3,3,1966-01-01,,0,1.7,227000,22700.0,1
viv_269,78.0,3,6,2015-01-01,int,0,0.5,253000,25300.0,1
viv_270,95.0,4+,1,1998-01-01,ext,0,0.7,306000,30600.0,1
viv_271,82.0,3,10,2014-01-01,ext,0,1.7,192000,19200.0,1
viv_272,78.0,3,2,1991-01-01,,0,1.0,228000,22800.0,1
viv_273,115.0,2,4,2003-01-01,int,0,1.7,222000,22200.0,0
viv_274,73.0,1,5,1990-01-01,int,0,1.3,184000,18400.0,1
viv_275,93.0,4+,8,1984-01-01,ext,0,1.5,344000,34400.0,0
viv_276,102.0,4+,10,1976-01-01,,0,1.5,200000,20000.0,1
viv_277,69.0,4+,8,2017-01-01,ext,0,1.5,221000,22100.0,1
viv_278,70.0,2,4,2018-01-01,,0,0.8,197000,19700.0,1
viv_279,113.0,1,6,1974-01-01,ext,0,1.9,214000,21400.0,1
viv_280,110.0,3,2,1984-01-01,,0,0.7,167000,16700.0,0
viv_281,94.0,3,5,2007-01-01,,0,0.5,251000,25100.0,1
viv_282,122.0,4+,3,1970-01-01,ext,0,1.0,336000,33600.0,1
viv_283,101.0,3,2,2015-01-01,ext,0,1.1,127000,12700.0,0
viv_284,106.0,1,7,1970-01-01,ext,0,1.2,203000,20300.0,1
viv_285,82.0,2,8,2003-01-01,,0,1.2,204000,20400.0,1
viv_286,72.0,1,3,1995-01-01,ext,0,0.6,182000,18200.0,1
viv_287,89.0,1,5,1964-01-01,,0,1.3,153000,15300.0,1
viv_288,72.0,1,8,1992-01-01,ext,0,1.9,223000,22300.0,0
viv_289,127.0,2,3,1986-01-01,int,0,0.7,317000,31700.0,1
viv_290,111.0,1,9,2019-01-01,ext,0,1.0,199000,19900.0,1
viv_291,121.0,2,1,2011-01-01,,0,0.8,268000,26800.0,1
viv_292,122.0,2,7,2018-01-01,,0,0.9,258000,25800.0,1
viv_293,118.0,1,5,1981-01-01,,0,1.3,332000,33200.0,0
viv_294,117.0,2,1,2016-01-01,,0,0.6,264000,26400.0,1
viv_295,76.0,1,9,2002-01-01,ext,0,0.9,115000,11500.0,0
viv_296,113.0,1,9,1988-01-01,int,0,1.1,203000,20300.0,1
viv_297,118.0,3,1,1968-01-01,int,0,1.2,271000,27100.0,0
viv_298,69.0,3,3,2001-01-01,int,0,1.7,236000,23600.0,1
viv_299,83.0,1,9,1981-01-01,int,0,1.9,186000,18600.0,0
viv_300,96.0,3,7,1973-01-01,int,0,0.7,276000,27600.0,1
viv_301,103.0,2,8,1975-01-01,int,0,1.4,255000,25500.0,1
viv_302,65.0,3,4,1965-01-01,,0,1.0,191000,19100.0,0
viv_303,64.0,2,5,1981-01-01,,0,1.1,175000,17500.0,0
viv_304,87.0,3,8,1966-01-01,int,0,1.0,237000,23700.0,1
viv_305,126.0,4+,3,1996-01-01,,0,1.6,313000,31300.0,1
viv_306,91.0,1,7,1979-01-01,int,0,0.5,198000,19800.0,1
viv_307,105.0,2,7,2022-01-01,int,0,1.7,273000,27300.0,1
viv_308,123.0,3,10,2013-01-01,int,0,1.3,235000,23500.0,1
viv_309,95.0,4+,9,1978-01-01,,0,1.2,228000,22800.0,1
viv_310,113.0,1,5,2013-01-01,ext,0,1.2,221000,22100.0,1
viv_311,60.0,1,1,1993-01-01,int,0,0.7,167000,16700.0,1
viv_312,99.0,2,1,1964-01-01,int,0,2.0,210000,21000.0,1
viv_313,81.0,2,5,1968-01-01,,0,1.2,205000,20500.0,1
viv_314,89.0,2,10,1977-01-01,,0,1.9,174000,17400.0,1
viv_315,62.0,3,6,2006-01-01,int,0,1.8,300000,30000.0,0
viv_316,109.0,2,7,1972-01-01,int,0,1.3,268000,26800.0,1
viv_317,121.0,1,8,1964-01-01,,0,1.4,256000,25600.0,0
viv_318,125.0,3,6,1982-01-01,,0,1.5,283000,28300.0,1
viv_319,77.0,3,9,2001-01-01,ext,0,1.0,215000,21500.0,1
viv_320,108.0,1,4,1984-01-01,ext,0,1.4,216000,21600.0,1
viv_321,97.0,3,5,1980-01-01,int,0,0.6,291000,29100.0,1
viv_322,65.0,4+,5,1973-01-01,ext,0,0.5,162000,16200.0,0
viv_323,80.0,3,3,1980-01-01,ext,0,1.9,255000,25500.0,1
viv_324,75.0,2,9,1975-01-01,ext,0,0.7,301000,30100.0,0
viv_325,84.0,2,5,1969-01-01,int,0,1.5,236000,23600.0,1
viv_326,95.0,3,5,2006-01-01,int,0,1.6,320000,32000.0,0
viv_327,70.0,1,8,1965-01-01,ext,0,0.7,153000,15300.0,1
viv_328,73.0,2,6,2007-01-01,int,0,1.3,222000,22200.0,1
viv_329,65.0,2,2,2003-01-01,,0,0.6,321000,32100.0,0
viv_330,78.0,3,6,2006-01-01,int,0,1.9,250000,25000.0,1
viv_331,66.0,2,4,1979-01-01,,0,1.2,122000,12200.0,0
viv_332,123.0,2,6,1983-01-01,,0,1.5,260000,26000.0,1
viv_333,114.0,3,1,1968-01-01,ext,0,0.8,305000,30500.0,1
viv_334,93.0,3,8,1975-01-01,,0,1.4,123000,12300.0,0
viv_335,106.0,4+,3,1979-01-01,ext,0,0.5,320000,32000.0,1
viv_336,86.0,3,1,1977-01-01,ext,0,2.0,265000,26500.0,1
viv_337,87.0,2,7,2011-01-01,,0,1.6,123000,12300.0,0
viv_338,90.0,1,8,1995-01-01,ext,0,1.8,256000,25600.0,0
viv_339,113.0,1,6,2023-01-01,ext,0,1.8,219000,21900.0,1
viv_340,77.0,2,3,1996-01-01,,0,1.2,212000,21200.0,1
viv_341,111.0,4+,5,1987-01-01,ext,0,1.6,322000,32200.0,1
viv_342,82.0,2,2,2003-01-01,,0,0.5,157000,15700.0,0
viv_343,74.0,2,4,1997-01-01,int,0,1.1,342000,34200.0,0
viv_344,122.0,4+,3,1994-01-01,,0,1.9,306000,30600.0,1
viv_345,83.0,2,4,1978-01-01,ext,0,1.3,238000,23800.0,1
viv_346,122.0,2,1,2001-01-01,,0,0.5,274000,27400.0,1
viv_347,84.0,2,9,1993-01-01,ext,0,1.2,211000,21100.0,1
viv_348,84.0,2,5,1966-01-01,ext,0,0.8,221000,22100.0,1
viv_349,110.0,1,5,2019-01-01,ext,0,1.3,217000,21700.0,1
viv_350,110.0,4+,4,2008-01-01,,0,0.8,289000,28900.0,1
viv_351,69.0,2,10,1997-01-01,ext,0,0.8,165000,16500.0,1
viv_352,92.0,3,7,1987-01-01,,0,1.2,239000,23900.0,1
viv_353,72.0,2,1,1986-01-01,ext,0,0.6,219000,21900.0,1
viv_354,61.0,1,4,1981-01-01,,0,0.8,302000,30200.0,0
viv_355,100.0,2,7,1995-01-01,int,0,0.9,262000,26200.0,1
viv_356,70.0,1,1,2018-01-01,ext,0,0.6,281000,28100.0,0
viv_357,112.0,3,3,2020-01-01,,0,1.5,283000,28300.0,1
viv_358,109.0,4+,6,1994-01-01,int,0,1.2,332000,33200.0,1
viv_359,107.0,3,9,2018-01-01,,0,1.4,210000,21000.0,0
viv_360,121.0,2,10,2012-01-01,ext,0,1.5,212000,21200.0,1
viv_361,89.0,3,4,1968-01-01,int,0,1.2,267000,26700.0,1
viv_362,82.0,2,6,1988-01-01,ext,0,0.5,232000,23200.0,1
